id;first_name;last_name;email;age;language;type
1;Gregorio;Goyette;Lonie52@hotmail.com;47270;GREEK;CUSTOMER
2;Elizabeth;Rau;Tracey.Gibson@yahoo.com;86760;ENGLISH;PERFORMER
3;Tyson;Becker;Kiarra39@hotmail.com;91621;GREEK;PERFORMER
4;Lavonne;Abbott;Elyse_Tromp9@hotmail.com;10337;ENGLISH;CUSTOMER
5;Bettie;Jenkins;Anya_Price60@hotmail.com;13754;GREEK;CUSTOMER
6;Beatrice;Rolfson;Amani90@yahoo.com;57471;GREEK;PERFORMER
7;Ernestina;Greenholt;Kayla44@hotmail.com;92735;ENGLISH;PERFORMER
8;Sim;Schmitt;Delphia62@hotmail.com;51543;ENGLISH;CUSTOMER
9;Turner;Balistreri;Flavio28@gmail.com;7354;GREEK;CUSTOMER
10;Naomie;Veum;Justen_Nikolaus@yahoo.com;11500;GREEK;PERFORMER
